"Ebene";"EDV-Code";"Code";"Titel";"korrespondierende Ebene";"korrespondierender EDV-Code";"korrespondierender Code";"korrespondierender Titel";"Korrespondenz-Beschreibung"
5;"A03110";"A 03.11-0";"Meeresfischerei";4;"A0311";"A 03.11";"Meeresfischerei";""
5;"A03120";"A 03.12-0";"Süßwasserfischerei";4;"A0312";"A 03.12";"Süßwasserfischerei";""
5;"A03210";"A 03.21-0";"Meeresaquakultur";4;"A0321";"A 03.21";"Meeresaquakultur";""
5;"A03220";"A 03.22-0";"Süßwasseraquakultur";4;"A0322";"A 03.22";"Süßwasseraquakultur";""
5;"A03300";"A 03.30-0";"Erbringung von Dienstleistungen für Fischerei und Aquakultur";4;"A0330";"A 03.30";"Erbringung von Dienstleistungen für Fischerei und Aquakultur";""
5;"B05100";"B 05.10-0";"Steinkohlenbergbau";4;"B0510";"B 05.10";"Steinkohlenbergbau";""
5;"B05200";"B 05.20-0";"Braunkohlenbergbau";4;"B0520";"B 05.20";"Braunkohlenbergbau";""
5;"B06100";"B 06.10-0";"Gewinnung von Erdöl";4;"B0610";"B 06.10";"Gewinnung von Erdöl";""
5;"B06200";"B 06.20-0";"Gewinnung von Erdgas";4;"B0620";"B 06.20";"Gewinnung von Erdgas";""
5;"B07100";"B 07.10-0";"Eisenerzbergbau";4;"B0710";"B 07.10";"Eisenerzbergbau";""
5;"B07210";"B 07.21-0";"Bergbau auf Uran- und Thoriumerze";4;"B0721";"B 07.21";"Bergbau auf Uran- und Thoriumerze";""
5;"B07290";"B 07.29-0";"Sonstiger NE-Metallerzbergbau";4;"B0729";"B 07.29";"Sonstiger NE-Metallerzbergbau";""
5;"B08110";"B 08.11-0";"Gewinnung von Naturwerksteinen, Kalk- und Gipsstein, Schiefer und sonstigem Gestein";4;"B0811";"B 08.11";"Gewinnung von Naturwerksteinen, Kalk- und Gipsstein, Schiefer und sonstigem Gestein";""
