"Ebene";"EDV-Code";"Code";"Titel";"Kurztitel"
4;"G4635";"G 46.35";"Wholesale of tobacco products";""
5;"G46350";"G 46.35-0";"Wholesale of tobacco products";""
4;"G4636";"G 46.36";"Wholesale of sugar, chocolate and sugar confectionery";""
5;"G46360";"G 46.36-0";"Wholesale of sugar, chocolate and sugar confectionery";""
4;"G4637";"G 46.37";"Wholesale of coffee, tea, cocoa and spices";""
5;"G46370";"G 46.37-0";"Wholesale of coffee, tea, cocoa and spices";""
4;"G4638";"G 46.38";"Wholesale of other food";""
5;"G46380";"G 46.38-0";"Wholesale of other food";""
4;"G4639";"G 46.39";"Non-specialised wholesale of food, beverages and tobacco";""
5;"G46390";"G 46.39-0";"Non-specialised wholesale of food, beverages and tobacco";""
3;"G464";"G 46.4";"Wholesale of household goods";""
4;"G4641";"G 46.41";"Wholesale of textiles";""
5;"G46410";"G 46.41-0";"Wholesale of textiles";""
4;"G4642";"G 46.42";"Wholesale of clothing and footwear";""
5;"G46421";"G 46.42-1";"Wholesale of clothing";""
5;"G46422";"G 46.42-2";"Wholesale of footwear";""
4;"G4643";"G 46.43";"Wholesale of electrical household appliances";""
5;"G46431";"G 46.43-1";"Wholesale of photographic and optical goods";""
5;"G46432";"G 46.43-2";"Wholesale of electrical household appliances";""
5;"G46433";"G 46.43-3";"Wholesale of audio and video equipment";""
4;"G4644";"G 46.44";"Wholesale of china and glassware and cleaning materials";""
5;"G46440";"G 46.44-0";"Wholesale of china and glassware and cleaning materials";""
4;"G4645";"G 46.45";"Wholesale of perfume and cosmetics";""
5;"G46450";"G 46.45-0";"Wholesale of perfume and cosmetics";""
4;"G4646";"G 46.46";"Wholesale of pharmaceutical and medical goods";""
5;"G46461";"G 46.46-1";"Wholesale of pharmaceutical products";""
5;"G46462";"G 46.46-2";"Wholesale of orthopaedic appliances and medical and surgical equipment";""
4;"G4647";"G 46.47";"Wholesale of household, office and shop furniture, carpets and lighting equipment";""
5;"G46470";"G 46.47-0";"Wholesale of household, office and shop furniture, carpets and lighting equipment";""
4;"G4648";"G 46.48";"Wholesale of watches and jewellery";""
5;"G46480";"G 46.48-0";"Wholesale of watches and jewellery";""
4;"G4649";"G 46.49";"Wholesale of other household goods";""
5;"G46491";"G 46.49-1";"Wholesale of stationery and office supplies";""
5;"G46492";"G 46.49-2";"Wholesale of books, magazines and newspapers";""
5;"G46493";"G 46.49-3";"Wholesale of sports goods";""
5;"G46494";"G 46.49-4";"Wholesale of games and toys and musical instruments";""
5;"G46499";"G 46.49-9";"Wholesale of other household goods n.e.c.";""
3;"G465";"G 46.5";"Wholesale of information and communication equipment";""
4;"G4650";"G 46.50";"Wholesale of information and communication equipment";""
5;"G46500";"G 46.50-0";"Wholesale of information and communication equipment";""
3;"G466";"G 46.6";"Wholesale of other machinery, equipment and supplies";""
4;"G4661";"G 46.61";"Wholesale of agricultural machinery, equipment and supplies";""
5;"G46610";"G 46.61-0";"Wholesale of agricultural machinery, equipment and supplies";""
4;"G4662";"G 46.62";"Wholesale of machine tools";""
5;"G46620";"G 46.62-0";"Wholesale of machine tools";""
4;"G4663";"G 46.63";"Wholesale of mining, construction and civil engineering machinery";""
5;"G46630";"G 46.63-0";"Wholesale of mining, construction and civil engineering machinery";""
4;"G4664";"G 46.64";"Wholesale of other machinery and equipment";""
5;"G46641";"G 46.64-1";"Wholesale of electrical installation material and photovoltaic systems";""
5;"G46649";"G 46.64-9";"Wholesale of other machinery and equipment n.e.c.";""
3;"G467";"G 46.7";"Wholesale of motor vehicles, motorcycles and related parts and accessories";""
4;"G4671";"G 46.71";"Wholesale of motor vehicles";""
5;"G46711";"G 46.71-1";"Wholesale of cars and light motor vehicles";""
5;"G46712";"G 46.71-2";"Wholesale of other motor vehicles";""
4;"G4672";"G 46.72";"Wholesale of motor vehicle parts and accessories";""
5;"G46720";"G 46.72-0";"Wholesale of motor vehicle parts and accessories";""
4;"G4673";"G 46.73";"Wholesale of motorcycles, motorcycle parts and accessories";""
5;"G46730";"G 46.73-0";"Wholesale of motorcycles, motorcycle parts and accessories";""
3;"G468";"G 46.8";"Other specialised wholesale";""
4;"G4681";"G 46.81";"Wholesale of solid, liquid and gaseous fuels and related products";""
5;"G46811";"G 46.81-1";"Wholesale of solid fuels";""
5;"G46812";"G 46.81-2";"Wholesale of liquid and gaseous fuels";""
4;"G4682";"G 46.82";"Wholesale of metals and metal ores";""
5;"G46821";"G 46.82-1";"Wholesale of metal ores, ferrous metals in primary forms and semi-finished ferrous metal products";""
5;"G46822";"G 46.82-2";"Wholesale of non-ferrous metals in primary forms and semi-finished non-ferrous metal products";""
4;"G4683";"G 46.83";"Wholesale of wood, construction materials and sanitary equipment";""
5;"G46831";"G 46.83-1";"Wholesale of wood";""
5;"G46832";"G 46.83-2";"Wholesale of construction materials and sanitary equipment";""
5;"G46833";"G 46.83-3";"Wholesale of flat glass, paints and varnishes, wallpaper and floor  coverings";""
